grid_id,lat,lng,time_slot,population,crowd_score
다사61754500,37.5046087,127.0686478,0,58.82,18.0
다사61754525,37.5068621,127.0686349,0,318.56,37.4
다사61754550,37.5091154,127.0686219,0,134.03,27.3
다사61754575,37.5113688,127.0686089,0,94.34,23.9
다사61754600,37.5136221,127.068596,0,30.73,12.8
다사61754625,37.5158755,127.068583,0,15.4,6.4
다사61754650,37.5181288,127.06857,0,83.96,22.2
다사61754675,37.5203822,127.0685571,0,13.57,5.9
다사62004450,37.5001123,127.0715021,0,1096.19,54.4
다사62004475,37.5023657,127.0714892,0,79.69,21.7
다사62004500,37.504619,127.0714763,0,89.34,23.4
다사62004525,37.5068724,127.0714634,0,31.37,13.1
다사62004550,37.5091257,127.0714505,0,19.12,8.1
다사62004575,37.5113791,127.0714377,0,308.73,36.5
다사62004625,37.5158858,127.0714119,0,179.4,29.8
다사62004650,37.5181391,127.071399,0,85.91,22.7
다사62004675,37.5203925,127.0713861,0,21.41,9.6
다사62254425,37.4978692,127.0743432,0,849.99,50.5
다사62254450,37.5001225,127.0743304,0,64.11,19.7
다사62254475,37.5023759,127.0743176,0,69.5,20.9
다사62254500,37.5046292,127.0743048,0,4082.43,93.6
다사62254525,37.5068826,127.074292,0,53.66,17.2
다사62254550,37.5091359,127.0742792,0,563.71,44.3
다사62254575,37.5113893,127.0742664,0,37.21,14.3
다사62254600,37.5136426,127.0742536,0,66.84,20.2
다사62254625,37.515896,127.0742408,0,11.97,5.2
다사62254650,37.5181493,127.074228,0,52.57,17.0
다사62254675,37.5204027,127.0742152,0,7.98,3.2
다사62254750,37.5271627,127.0741768,0,7.74,3.0
다사62254775,37.5294161,127.0741639,0,407.51,40.1
다사62504375,37.4933726,127.0771968,0,2852.88,83.5
다사62504400,37.495626,127.0771841,0,115.02,26.6
다사62504425,37.4978793,127.0771714,0,251.87,35.0
다사62504450,37.5001327,127.0771587,0,100.4,25.1
다사62504475,37.502386,127.077146,0,938.06,52.0
다사62504500,37.5046394,127.0771332,0,21.59,9.9
다사62504525,37.5068927,127.0771205,0,2106.05,72.7
다사62504550,37.5091461,127.0771078,0,977.01,52.7
다사62504575,37.5113995,127.0770951,0,1566.76,62.6
다사62504600,37.5136528,127.0770824,0,2440.27,77.6
다사62504625,37.5159062,127.0770697,0,588.64,45.3
