poi_id,name,category,lat,lng,distance_from_center_m,detail
ST_0216,잠실역,station,37.513262,127.100159,5.6,2호선
CZ_3120229,방이동먹자골목,commercial,37.5143,127.109117,794.3,점포 1012곳
CZ_3111013,송파나루역 1번(송리단길),commercial,37.50915,127.108376,856.2,점포 621곳
CZ_3111010,석촌역 7번,commercial,37.505414,127.101411,883.4,점포 425곳
ST_0215,잠실나루역,station,37.520733,127.10379,885.1,2호선
CZ_3111014,송파나루역 2번,commercial,37.512542,127.111414,992.7,점포 150곳
CZ_3120228,석촌역(석촌호수),commercial,37.50641,127.108005,1030.0,점포 927곳
ST_2816,석촌역,station,37.505557,127.106832,1040.9,8호선
CZ_3111006,석촌고분역 1번,commercial,37.505077,127.094259,1053.9,점포 411곳
ST_4134,송파나루역,station,37.510372,127.112216,1108.7,9호선(연장)
ST_2814,몽촌토성역,station,37.517409,127.112359,1165.7,8호선
ST_4132,석촌고분역,station,37.502558,127.097033,1226.7,9호선(연장)
CZ_3130313,방이시장,commercial,37.511521,127.114169,1247.9,점포 460곳
ST_0217,잠실새내역,station,37.511687,127.086162,1251.1,2호선
CZ_3111015,석촌역 3번,commercial,37.505989,127.111237,1268.3,점포 440곳
CZ_3111004,삼전역 1번,commercial,37.506776,127.087576,1329.0,점포 697곳
CZ_3111012,석촌역 6번,commercial,37.502173,127.106715,1364.2,점포 277곳
CZ_3111017,송파나루역 3번,commercial,37.509056,127.115134,1399.2,점포 72곳
CZ_3130311,새마을시장,commercial,37.509214,127.084934,1421.1,점포 451곳
ST_4131,삼전역,station,37.504738,127.088025,1435.2,9호선(연장)
CZ_3111008,석촌고분역 3번,commercial,37.500382,127.099024,1440.2,점포 219곳
ST_4135,한성백제역,station,37.516404,127.116503,1478.8,9호선(연장)
CZ_3130312,석촌시장,commercial,37.500358,127.106313,1536.8,점포 346곳
CZ_3111019,한성백제역 3번,commercial,37.513581,127.117688,1542.8,점포 337곳
CZ_3111007,석촌고분역 4번,commercial,37.499855,127.093888,1595.3,점포 205곳
CZ_3111009,송파책박물관,commercial,37.498798,127.101224,1615.1,점포 80곳
CZ_3111005,삼전역 3번,commercial,37.501759,127.088837,1628.3,점포 287곳
CZ_3120225,잠실새내역(신천),commercial,37.510312,127.081913,1646.8,점포 2183곳
CZ_3120230,송파사거리(송파역),commercial,37.500948,127.111406,1692.2,점포 507곳
CZ_3111020,방이동고분군(방산고등학교),commercial,37.506989,127.119411,1834.1,점포 160곳
ST_2817,송파역,station,37.499703,127.112183,1844.8,8호선
CZ_3111003,삼전역 4번,commercial,37.503934,127.082814,1853.8,점포 525곳
CZ_3111016,송파역 2번,commercial,37.500787,127.115544,1941.1,점포 111곳
CZ_3111021,방이역 4번,commercial,37.511084,127.123171,2041.0,점포 709곳
CZ_3001495,잠실 관광특구,commercial,37.516047,127.123812,2104.8,점포 3371곳
ST_4130,종합운동장역,station,37.511426,127.076275,2120.5,9호선(연장)
ST_2557,방이역,station,37.508857,127.126133,2340.1,5호선
CZ_3120231,가락시장,commercial,37.49385,127.110963,2362.0,점포 2936곳
CZ_3110163,성자초등학교,commercial,37.530606,127.083986,2397.5,점포 194곳
CZ_3110169,성동초등학교,commercial,37.532475,127.08715,2422.9,점포 123곳
CZ_3120060,강변역(테크노마트),commercial,37.534754,127.094833,2432.1,점포 1122곳
CZ_3111022,석촌중학교(방이육교),commercial,37.50182,127.123676,2432.6,점포 85곳
ST_0214,강변역,station,37.535095,127.094681,2471.9,2호선
CZ_3110157,자양동우체국,commercial,37.529904,127.080646,2526.4,점포 239곳
CZ_3110173,구남초등학교,commercial,37.535381,127.091031,2585.0,점포 92곳
ST_2813,강동구청역,station,37.530341,127.120508,2607.3,8호선
CZ_3111053,성내천어린이공원(하니사랑길),commercial,37.526284,127.125317,2644.1,점포 210곳
ST_4136,올림픽공원역,station,37.516269,127.130288,2674.2,9호선(연장)
CZ_3110997,대청초등학교,commercial,37.492275,127.08548,2674.3,점포 657곳
CZ_3111032,방이역 1번,commercial,37.508739,127.130165,2691.2,점포 224곳
CZ_3111030,방이역 2번,commercial,37.506345,127.129863,2728.3,점포 187곳
ST_2558,오금역,station,37.502057,127.127938,2747.6,5호선
ST_2818,가락시장역,station,37.492888,127.118398,2780.0,8호선
CZ_3111029,오금역 4번,commercial,37.498809,127.126363,2814.7,점포 94곳
CZ_3110151,자양한강도서관,commercial,37.530707,127.076956,2819.3,점포 256곳
ST_0337,대청역,station,37.493514,127.079532,2857.3,3호선
ST_1030,수서역,station,37.487472,127.101422,2874.0,분당선
CZ_3110159,구의역 4번,commercial,37.534797,127.081918,2883.3,점포 453곳
CZ_3111050,강동구청(강동구청역 2번),commercial,37.530714,127.124485,2887.3,점포 52곳
ST_0341,경찰병원역,station,37.495918,127.12454,2888.9,3호선
CZ_3130081,자양골목전통시장(자양골목시장),commercial,37.534023,127.080072,2908.7,점포 169곳
ST_0213,구의역,station,37.537077,127.085916,2928.6,2호선
CZ_3120059,구삼강변맛길,commercial,37.539012,127.092608,2936.4,점포 426곳
CZ_3130080,자양종합시장(기능상실),commercial,37.531932,127.076429,2947.4,점포 7곳
CZ_3111018,풍납초등학교(풍납백제문화공원),commercial,37.536555,127.11655,2960.7,점포 47곳
CZ_3110154,광진정말공원,commercial,37.533293,127.077735,2977.8,점포 265곳
