sensor_id,lat,lng
OC3CL200017,37.52406575,127.1285088
OC3CL200033,37.51217275,127.1046954
OC3CL200135,37.50215692,127.07044791
OC3CL200141,37.48877157,127.1067039
OC3CL200157,37.492381245,127.094589306
OC3CL200207,37.494957877,127.124194746
OC3CL210115,37.525641,127.129665
V02Q1940079,37.494102447,127.082209375
V02Q1940082,37.495507594,127.085748474
V02Q1940098,37.48670146,127.1000197
V02Q1940100,37.494978959,127.093144214
V02Q1940117,37.508537127,127.087121735
V02Q1940129,37.497655712,127.074468747
V02Q1940246,37.49920086,127.072395308
V02Q1940391,37.528616803,127.085121222
V02Q1940392,37.538286643,127.09239683
V02Q1940403,37.534309074,127.081985567
V02Q1940411,37.533878243,127.091521
V02Q1940506,37.535029673,127.093240689
V02Q1940507,37.531277474,127.123271252
V02Q1940679,37.495212727,127.121438826
V02Q1940706,37.502049127,127.117110751
V02Q1940708,37.514300619,127.091447797
V02Q1940713,37.516185359,127.114540561
V02Q1940714,37.513385412,127.10686824
V02Q1940734,37.518407904,127.100366298
V02Q1940736,37.504194933,127.128187719
V02Q1940742,37.501040267,127.109739451
V02Q1940767,37.502603852,127.092310875
V02Q1940772,37.503635193,127.103503284
V02Q1940775,37.505801455,127.109663753
V02Q1940781,37.506173683,127.084756221
V02Q1940784,37.498247757,127.126296648
V02Q1940787,37.512955044,127.094661921
V02Q1940788,37.509617855,127.0741524
V02Q1940790,37.514278277,127.112258966
V02Q1940800,37.519952859,127.1123122
V02Q1940811,37.52727312,127.116249051
V02Q1940819,37.507344263,127.104688643
V02Q1940820,37.511104225,127.102321793
V02Q1940821,37.502832774,127.108694904
V02Q1940832,37.511768309,127.124209484
V02Q1940838,37.51767925,127.08881891
V02Q1940847,37.489683491,127.111908205
V02Q1940860,37.533442403,127.080963254
V02Q1940873,37.53247211,127.114301129
V02Q1940887,37.502749128,127.09252424
V02Q1940941,37.509088133,127.084056858
