shade_id,lat,lng,shade_type,shade_score
TREE_00001,37.51369046,127.1006886,tree,100.0
TREE_00002,37.5132776,127.0993182,tree,100.0
TREE_00003,37.51368591,127.1008485,tree,100.0
TREE_00004,37.51323474,127.0992442,tree,100.0
TREE_00005,37.51319618,127.0991748,tree,100.0
TREE_00006,37.51408579,127.0999377,tree,100.0
TREE_00007,37.51374369,127.1009936,tree,100.0
TREE_00008,37.51316877,127.0991075,tree,100.0
TREE_00009,37.51413984,127.099887,tree,100.0
TREE_00010,37.51340891,127.1012044,tree,100.0
TREE_00011,37.51389952,127.0993119,tree,100.0
TREE_00012,37.51316787,127.0990191,tree,100.0
TREE_00013,37.51418896,127.0998373,tree,100.0
TREE_00014,37.51376294,127.1011374,tree,100.0
TREE_00015,37.51343524,127.1012823,tree,100.0
TREE_00016,37.51312527,127.0988558,tree,100.0
TREE_00017,37.51347689,127.1014065,tree,100.0
TREE_00018,37.51383105,127.1012726,tree,100.0
TREE_00019,37.51434686,127.0998176,tree,100.0
TREE_00020,37.51274301,127.0989781,tree,100.0
TREE_00021,37.51349441,127.1014683,tree,100.0
TREE_00022,37.51382668,127.1013432,tree,100.0
TREE_00023,37.51310195,127.0987591,tree,100.0
TREE_00024,37.51437962,127.0997805,tree,100.0
TREE_00025,37.51441529,127.0997577,tree,100.0
TREE_00026,37.51352964,127.1015576,tree,100.0
TREE_00027,37.51439985,127.0996266,tree,100.0
TREE_00028,37.51270441,127.0988216,tree,100.0
TREE_00029,37.51306746,127.098645,tree,100.0
TREE_00030,37.51354334,127.1016209,tree,100.0
TREE_00031,37.51447257,127.099718,tree,100.0
TREE_00032,37.51450051,127.0996733,tree,100.0
TREE_00033,37.51268202,127.0987448,tree,100.0
TREE_00034,37.51357307,127.1016883,tree,100.0
TREE_00035,37.51454071,127.0996387,tree,100.0
TREE_00036,37.51305233,127.0985085,tree,100.0
TREE_00037,37.51359907,127.101777,tree,100.0
TREE_00038,37.51457343,127.0995802,tree,100.0
TREE_00039,37.51265418,127.0986434,tree,100.0
TREE_00040,37.51461397,127.0995552,tree,100.0
TREE_00041,37.51362153,127.1018528,tree,100.0
