zone_id,lat,lng,zone_type,store_count
3120227,37.5142724,127.1024405,mixed,2536
3120229,37.5143004,127.1091175,mixed,1012
3111013,37.50915,127.1083757,mixed,621
3111010,37.5054136,127.1014113,mixed,425
3111011,37.5208689,127.1041994,mixed,139
3111014,37.5125416,127.1114136,mixed,150
3120228,37.5064102,127.1080048,mixed,927
3111006,37.5050775,127.0942592,mixed,411
3120226,37.5035564,127.0970451,mixed,451
3120232,37.5100375,127.1120865,mixed,247
3120233,37.5159102,127.1138436,mixed,575
3130313,37.511521,127.1141688,mixed,460
3111015,37.5059894,127.1112367,mixed,440
3111004,37.506776,127.087576,mixed,697
3111012,37.5021735,127.1067149,mixed,277
3111017,37.5090555,127.1151343,mixed,72
3130311,37.5092145,127.0849343,mixed,451
3111008,37.500382,127.0990244,mixed,219
3130312,37.5003576,127.1063132,mixed,346
3111019,37.5135805,127.117688,mixed,337
3111007,37.4998551,127.0938882,mixed,205
3111009,37.4987985,127.1012235,mixed,80
3111005,37.501759,127.0888367,mixed,287
3120225,37.5103115,127.0819131,mixed,2183
3120230,37.500948,127.1114061,mixed,507
3111020,37.5069893,127.1194106,mixed,160
3111003,37.5039343,127.0828136,mixed,525
3111016,37.5007873,127.1155437,mixed,111
3111021,37.5110839,127.1231706,mixed,709
3001495,37.5160474,127.1238121,mixed,3371
3120238,37.5091153,127.1254714,mixed,333
3120231,37.4938499,127.1109632,mixed,2936
3110163,37.5306058,127.0839862,mixed,194
3110169,37.5324748,127.0871499,mixed,123
3120060,37.5347539,127.0948333,mixed,1122
3111022,37.5018195,127.1236764,mixed,85
3110157,37.5299035,127.0806455,mixed,239
3120239,37.5019738,127.1252334,mixed,566
3110173,37.5353814,127.0910308,mixed,92
3120242,37.529741,127.1216784,mixed,694
3111053,37.5262843,127.125317,mixed,210
3110997,37.4922751,127.0854798,mixed,657
3111032,37.5087392,127.1301654,mixed,224
3120237,37.4959193,127.1215628,mixed,785
3111030,37.5063454,127.1298625,mixed,187
3110151,37.5307066,127.0769559,mixed,256
3111029,37.4988093,127.1263629,mixed,94
3120234,37.4914373,127.1167552,mixed,1171
3120224,37.4876363,127.1025535,mixed,638
3110159,37.5347972,127.0819181,mixed,453
3111050,37.5307143,127.1244848,mixed,52
3130081,37.5340232,127.0800717,mixed,169
3120059,37.5390125,127.0926083,mixed,426
3130080,37.531932,127.0764293,mixed,7
3111018,37.536555,127.1165501,mixed,47
3120056,37.5372377,127.0852158,mixed,814
3110154,37.5332925,127.0777347,mixed,265
3130321,37.5276816,127.1291703,mixed,95
3111062,37.5242229,127.1315683,mixed,192
3110146,37.5316535,127.0739547,mixed,212
3111025,37.4941658,127.1256111,mixed,119
3111024,37.4925308,127.123545,mixed,95
3111034,37.506736,127.1344642,mixed,212
3110175,37.5405158,127.0909588,mixed,162
3111051,37.5348063,127.1240575,mixed,333
3120061,37.541772,127.0947989,mixed,251
3120223,37.5042533,127.0654193,mixed,169
3130314,37.5372122,127.1211375,mixed,228
3110170,37.541392,127.0890154,mixed,239
3120222,37.5090467,127.0627218,mixed,1516
