streetlight_id,lat,lng
잠실호수교경관-02,37.510033,127.103033
잠실호수교경관-01,37.510106,127.103162
잠실호수교경관-03,37.509958,127.102902
잠실호수교경관-04,37.509878,127.102759
잠실호수교경관-05,37.5098,127.102621
잠실호수교경관-06,37.509719,127.102481
잠실호수교경관-11,37.509924,127.103128
잠실호수교경관-12,37.509992,127.103259
잠실호수교경관-10,37.509844,127.102999
잠실호수교경관-09,37.50976,127.102865
잠실호수교경관-08,37.509679,127.102733
잠실호수교경관-07,37.509593,127.102596
올_62-45,37.519073,127.096348
올_62-46,37.51928,127.096422
잠실대교남단-02,37.518937,127.095573
잠실대교남단경관-01,37.519031,127.095662
잠실대교남단-01,37.519102,127.095781
올_62-47,37.519461,127.096528
올_62-40,37.519013,127.095436
올_62-41,37.519259,127.095914
올_62-42,37.519481,127.096358
올_62-39,37.518799,127.094938
올_62-38,37.518666,127.094711
잠실대교남단경관-37,37.519159,127.095563
올_62-48,37.519635,127.096664
올_62-16,37.519171,127.095372
올_62-17,37.519375,127.095789
올_62-15,37.519018,127.095032
올_62-37,37.518477,127.094166
올_62-49,37.519885,127.097086
잠실대교남단-03,37.519337,127.095625
잠실대교남단경관-02,37.519271,127.095475
올_62-18,37.519574,127.096151
잠실대교남단-04,37.519216,127.09533
올_62-14,37.518856,127.094631
올_62-19,37.519782,127.096525
올_61-14,37.519262,127.095214
올_61-15,37.519589,127.095857
올_62-13,37.518692,127.0942
올_62-50,37.520174,127.097579
올_61-13,37.51907,127.094771
올_62-20,37.519988,127.096883
잠실대교남단경관-36,37.519402,127.095374
올_62-36,37.518297,127.093606
올_61-16,37.519793,127.096222
올_61-12,37.5189,127.094338
올_61-17,37.520001,127.096595
올_62-21,37.5202,127.097259
잠실대교남단-05,37.519556,127.095427
올_62-12,37.518544,127.093746
잠실대교남단경관-03,37.51951,127.095295
잠실대교남단-06,37.519461,127.095169
올_61-50,37.519368,127.094932
올_62-51,37.520457,127.098058
올_61-51,37.51919,127.094592
올_61-49,37.519656,127.095478
올_61-18,37.520215,127.09697
올_61-11,37.518734,127.093856
올_62-22,37.520421,127.097637
올_61-52,37.519035,127.094246
올_61-48,37.519871,127.095849
올_62-35,37.518113,127.093031
올_62-11,37.518397,127.093295
잠실대교남단경관-35,37.519635,127.095192
올_61-47,37.520086,127.096226
올_61-19,37.520428,127.097344
올_61-53,37.518885,127.093886
올_63-17,37.519801,127.095403
올_63-18,37.519611,127.094998
올_63-19,37.519424,127.094649
올_62-23,37.520617,127.09799
올_63-20,37.519231,127.094315
올_61-10,37.518576,127.093376
올_61-46,37.520291,127.096589
올_63-16,37.520021,127.095832
올_62-52,37.520735,127.098549
잠실대교남단-07,37.5198,127.095269
올_61-54,37.518755,127.093522
올_63-21,37.519054,127.093934
잠실대교남단경관-04,37.519747,127.095108
올_61-20,37.520633,127.09769
잠실대교남단-08,37.519688,127.094964
올_63-42,37.519593,127.094775
올_63-15,37.52026,127.096253
올_63-43,37.519408,127.094396
올_62-10,37.518241,127.09281
올_62-34,37.517924,127.092473
올_61-45,37.520506,127.09694
올_63-41,37.520011,127.095509
올_62-24,37.52083,127.098366
올_63-22,37.518904,127.093533
올_63-44,37.519234,127.094003
올_61-09,37.518418,127.092899
올_61-55,37.518622,127.093131
올_63-14,37.520492,127.096654
올_61-21,37.520832,127.09804
올_63-40,37.520248,127.095908
잠실대교남단경관-34,37.51987,127.095009
올_61-44,37.520718,127.097311
잠실대교남단-516,37.519368,127.094035
올_62-53,37.521014,127.099019
잠실대교남단-506,37.519486,127.094172
잠실대교남단-507,37.520351,127.095944
올_63-23,37.518758,127.093115
올_63-39,37.52048,127.096301
잠실대교남단-514,37.519201,127.093684
올_62-09,37.518083,127.092349
잠실대교남단-504,37.519306,127.093835
잠실대교남단-09,37.520007,127.095081
올_62-25,37.521035,127.098722
올_63-13,37.520729,127.097064
올_61-56,37.518488,127.092735
잠실대교남단-519,37.519675,127.094391
잠실대교남단-517,37.520475,127.09616
잠실대교남단-520,37.520295,127.095668
올_61-22,37.521035,127.098405
잠실대교남단경관-05,37.519987,127.094922
잠실대교남단-503,37.520587,127.096406
올_61-43,37.520936,127.097688
올_62-33,37.517743,127.09193
올_61-08,37.518269,127.092418
잠실대교남단-10,37.519952,127.094792
올_63-38,37.520703,127.096696
잠실대교남단-501,37.519101,127.09339
잠실대교남단-512,37.519004,127.093239
잠실대교남단-510,37.520262,127.095354
잠실대교남단-513,37.520711,127.096585
잠실대교남단-500,37.520758,127.096714
올_63-12,37.520971,127.097468
올_63-24,37.518619,127.09266
올_62-26,37.521233,127.099082
잠실대교남단경관-33,37.520096,127.094837
올_63-45,37.51893,127.092973
잠실대교남단-509,37.519922,127.094464
올_61-57,37.518361,127.092304
올_61-23,37.521241,127.098762
올_62-08,37.517934,127.091888
올_62-54,37.521303,127.099483
올_61-42,37.521167,127.098081
잠실대교남단-11,37.520241,127.094932
잠실대교남단-12,37.520117,127.094636
잠실대교남단-523,37.520346,127.095088
